Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Normalized MSE,Normalized NLL,CE Score,Best k_sil,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,not applicable,0.5959388957994449,72.00446081783141,not applicable,4,0.469088466634157,687496.8247954845,686070.9295015335,1425.8952939510345,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,not applicable,0.5959388957994449,72.00446081783141,not applicable,4,0.469088466634157,687496.8247954845,686070.9295015335,1425.8952939510345,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.25,0.1,not applicable,0.6807684248756631,78.65806792084209,not applicable,5,0.6594655383447581,694464.1565470695,686070.9295015335,8393.227045536041,grid
