Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_expression_processed_30000_columns,1230,False,20,9,0.75,0.1,4e-12,1.0,3,209739.60801577225,89.56771871504557,0.09736078987741678,0.5126436408149805,91125.90811729431,91118.94876909256,6.959348201751709,grid
TCGA_BRCA_gene_expression_processed_30000_columns,1230,False,20,9,0.75,0.1,4e-12,1.0,3,209739.60801577225,89.56771871504557,0.09736078987741678,0.5126436408149805,91125.90811729431,91118.94876909256,6.959348201751709,grid
TCGA_BRCA_gene_expression_processed_30000_columns,1230,False,20,3,1.5,0.25,4e-16,1.0,4,209739.60801577225,95.42100564042826,0.10945465021584089,0.637182368687197,91123.97012877464,91118.94876909256,5.02135968208313,grid
