Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_expression_processed_30000_columns,1230,True,16,9,0.75,0.1,4e-8,1.0,4,41569.73705760698,82.20760272756922,0.7899010609376139,0.44967105523539375,12438.13959312439,12433.378125429153,4.761467695236206,grid
TCGA_BRCA_gene_expression_processed_30000_columns,1230,True,20,9,0.75,0.1,2e-7,1.0,4,41569.73705760698,82.29014159206474,0.7841754122346417,0.4535411572498028,12439.22472333908,12433.378125429153,5.846597909927368,grid
TCGA_BRCA_gene_expression_processed_30000_columns,1230,True,20,3,1.5,0.25,4e-5,1.0,2,41569.73705760698,87.27488196648507,0.8664373520986683,0.6602748321893435,12436.981763362885,12433.378125429153,3.603637933731079,grid
