Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Normalized MSE,Normalized NLL,CE Score,Best k_sil,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,not applicable,0.5767631511631753,70.36914104063867,not applicable,3,0.4309526249518662,109880.32310628891,109524.02414822578,356.2989580631256,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,not applicable,0.5767631511631753,70.36914104063867,not applicable,3,0.4309526249518662,109880.32310628891,109524.02414822578,356.2989580631256,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.5,0.25,not applicable,0.681162003387073,78.68130630429442,not applicable,3,0.597706530479438,111350.89080643654,109524.02414822578,1826.8666582107544,grid
