Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TimeSeries_clean_NOT_scaled,3916,True,34,15,0.25,0.25,0.0,1.0,2,not applicable,62.57240189813989,0.4830523792405349,0.3795723798927314,19948.4998793602,19828.634263038635,119.86561632156372,4p
TimeSeries_clean_NOT_scaled,3916,True,34,15,0.25,0.25,0.0,1.0,2,not applicable,62.57240189813989,0.4830523792405349,0.3795723798927314,19948.4998793602,19828.634263038635,119.86561632156372,4p
TimeSeries_clean_NOT_scaled,3916,True,30,9,1.0,0.25,0.0,1.0,6,not applicable,65.52024844153125,0.5147053559494258,0.425687890233814,19915.46157813072,19828.634263038635,86.82731509208679,4p
