Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TimeSeries_clean_NOT_scaled,3916,False,34,15,1.0,0.2,0.0,1.0,2,not applicable,-344.1393837485525,0.4906547695603911,0.4078248165169977,19180.12887334824,19071.512808561325,108.616064786911,4p
TimeSeries_clean_NOT_scaled,3916,False,34,15,1.0,0.2,0.0,1.0,2,not applicable,-344.1393837485525,0.4906547695603911,0.4078248165169977,19180.12887334824,19071.512808561325,108.616064786911,4p
TimeSeries_clean_NOT_scaled,3916,False,30,15,0.75,0.2,0.0,1.0,2,not applicable,-343.97744013704096,0.4947313228412195,0.41817261226924,19151.0096218586,19071.512808561325,79.49681329727173,4p
