Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TimeSeries_clean_NOT_scaled,1800,False,34,15,0.5,0.25,0.0,1.0,2,not applicable,-355.1178504783598,0.4508806383734078,0.4110100529867304,6467.682456254959,6425.515817642212,42.16663861274719,4p
TimeSeries_clean_NOT_scaled,1800,False,34,15,0.5,0.25,0.0,1.0,2,not applicable,-355.1178504783598,0.4508806383734078,0.4110100529867304,6467.682456254959,6425.515817642212,42.16663861274719,4p
TimeSeries_clean_NOT_scaled,1800,False,30,9,1.0,0.1,0.0,1.0,2,not applicable,-350.96438313724286,0.4922298408281673,0.4143391680805307,6440.256341934204,6425.515817642212,14.740524291992188,4p
