Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TimeSeries_clean_NOT_scaled,1800,True,34,15,0.5,0.1,0.0,1.0,2,not applicable,57.70465987388767,0.438268707306722,0.3869880571081533,5510.734249591827,5469.97657418251,40.75767540931702,4p
TimeSeries_clean_NOT_scaled,1800,True,34,15,0.5,0.1,0.0,1.0,2,not applicable,57.70465987388767,0.438268707306722,0.3869880571081533,5510.734249591827,5469.97657418251,40.75767540931702,4p
TimeSeries_clean_NOT_scaled,1800,True,34,9,1.25,0.25,0.0,1.0,6,not applicable,62.946294623548695,0.4874458172107112,0.4307397686058576,5484.129188537598,5469.97657418251,14.15261435508728,4p
