Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,0.0,1.0,3,not applicable,120.89501284417598,0.13119339100416133,0.47825286454101423,8712.959059000015,8706.80749130249,6.151567697525024,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,0.0,1.0,3,not applicable,120.89501284417598,0.13119339100416133,0.47825286454101423,8712.959059000015,8706.80749130249,6.151567697525024,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,3,1.5,0.1,0.0,1.0,4,not applicable,127.48984871819323,0.1496914103972661,0.6472903274771225,8710.320468902588,8706.80749130249,3.5129776000976562,grid
