Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,8e-7,1.0,4,21284.07799807009,75.18314422670258,0.6350551217289362,0.4275679854971621,10504.138453722,10498.771023273468,5.3674304485321045,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,8e-7,1.0,4,21284.07799807009,75.18314422670258,0.6350551217289362,0.4275679854971621,10504.138453722,10498.771023273468,5.3674304485321045,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.5,0.2,8e-6,1.0,3,21284.07799807009,82.21441054803918,0.7309970892639535,0.6013364248727882,10501.289859771729,10498.771023273468,2.518836498260498,grid
