Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,False,16,9,0.75,0.1,5e-13,1.0,3,104383.68152306149,143.80322628347372,0.21025528437203128,0.5200400942765107,16317.144116401672,16312.753796577454,4.39031982421875,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,9,0.75,0.1,1e-14,1.0,3,104383.68152306149,143.8475540289088,0.2085714264030355,0.5103903532346729,16318.350208997726,16312.753796577454,5.596412420272827,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,3,1.5,0.1,5e-12,1.0,4,104383.68152306149,150.95644267451559,0.24048517269544017,0.61541258618773,16315.465693950653,16312.753796577454,2.711897373199463,grid
