Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,0.0,1.0,4,not applicable,75.27620230765139,0.6362381430818196,0.4261855274863912,10149.907141923904,10124.298477172852,25.608664751052856,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.15,0.0,1.0,4,not applicable,75.27620230765139,0.6362381430818196,0.4261855274863912,10149.907141923904,10124.298477172852,25.608664751052856,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.5,0.2,0.0,1.0,3,not applicable,82.14848971635708,0.7300217013941699,0.5989103548196135,10273.230681180954,10124.298477172852,148.93220400810242,grid
