Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,8e-16,1.0,3,222875.97144141476,120.89501284426386,0.13119339100439265,0.47825286454097404,99507.15303444862,99474.97779011726,32.17524433135986,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,8e-16,1.0,3,222875.97144141476,120.89501284426386,0.13119339100439265,0.47825286454097404,99507.15303444862,99474.97779011726,32.17524433135986,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,3,1.5,0.1,8e-16,1.0,4,222875.97144141476,127.48984871823251,0.14969141039734232,0.6472903274573825,99586.51705503464,99474.97779011726,111.53926491737366,grid
