Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,False,16,9,0.75,0.1,0.0,1.0,3,not applicable,143.8037444581728,0.21025742361630753,0.5202704098310001,10645.200308322906,10628.527564048767,16.672744274139404,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,9,0.75,0.1,0.0,1.0,3,not applicable,143.84755402810532,0.20857142639753104,0.5103903532350097,10643.007677555084,10628.527564048767,14.480113506317139,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,3,1.5,0.1,0.0,1.0,4,not applicable,150.9564424177992,0.24048517148974685,0.6154125860376324,10665.849633216858,10628.527564048767,37.32206916809082,grid
