Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,1e-4,1.0,3,7094.692666023366,70.37053006046509,0.576779124271705,0.4393641056192466,24448.997781276703,24438.571223020554,10.426558256149292,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,1e-4,1.0,3,7094.692666023366,70.37053006046509,0.576779124271705,0.4393641056192466,24448.997781276703,24438.571223020554,10.426558256149292,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.25,0.1,1e-3,1.0,4,7094.692666023366,78.22748368875637,0.6750559878386346,0.6018935693656431,24479.59004354477,24438.571223020554,41.0188205242157,grid
