Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,0.0,1.0,4,not applicable,72.00446081783173,0.5959388957994488,0.46908846663399073,1349.254557609558,1342.9918603897095,6.262697219848633,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,9,0.75,0.1,0.0,1.0,4,not applicable,72.00446081783173,0.5959388957994488,0.46908846663399073,1349.254557609558,1342.9918603897095,6.262697219848633,grid
TCGA_BRCA_gene_by_MAD,1230,True,20,3,1.25,0.1,0.0,1.0,5,not applicable,78.6580679207811,0.6807684248757011,0.6594655383463917,1345.8822576999664,1342.9918603897095,2.890397310256958,grid
