Dataset,Data Size,Standardization,Best k,Best m,Best s,Best regul,Best eta,Best sigma,Best k_sil,CE value,Normalized NLL,Normalized MSE,Silhouette Score,Execution Time,Grid Search Time,GTM Time,Num_param
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,4e-12,1.0,2,809092.293123972,103.10815125460674,0.0629350028137575,0.4077772684935512,230578.7784087658,230489.51519274712,89.26321601867676,grid
TCGA_BRCA_gene_by_MAD,1230,False,20,9,1.0,0.1,4e-12,1.0,2,809092.293123972,103.10815125460674,0.0629350028137575,0.4077772684935512,230578.7784087658,230489.51519274712,89.26321601867676,grid
TCGA_BRCA_gene_by_MAD,1230,False,8,9,0.75,0.25,4e-15,1.0,6,809092.293123972,113.42948511791971,0.08025273088197864,0.9999999436650338,230508.57306742668,230489.51519274712,19.05787467956543,grid
